exp_code,global_round,lambda_max,opt_drift
A,454,191.45713729858397,15.127480101286718
A,455,144.03631210327148,15.140667170069737
A,456,164.75767974853517,15.153153836600765
A,457,188.30983581542966,15.165045062327778
A,458,172.45684051513672,15.17637221437918
A,459,150.4973091125488,15.187204420845944
A,460,217.55181503295898,15.1975433146253
A,461,157.83980865478514,15.207456593080721
A,462,174.63897857666018,15.216973649567791
A,463,209.38911666870115,15.226133506319854
A,464,179.0339828491211,15.23496510522573
A,465,164.01294555664063,15.243500809100823
A,466,233.3843101501465,15.251758766670735
A,467,164.25316162109374,15.259751563661805
A,468,184.48096923828126,15.267494678164423
A,469,221.4444862365723,15.275017528503902
A,470,188.98355865478516,15.282327806615815
A,471,167.9436065673828,15.289438287720436
A,472,239.76833801269532,15.296365652122066
A,473,181.93282623291014,15.303109905810487
A,474,190.864697265625,15.309681194543705
A,475,221.92880935668947,15.316091878268349
A,476,199.71369476318364,15.32234431180388
A,477,179.29922637939455,15.328451605116394
A,478,248.25572662353517,15.334423096451692
A,479,181.52581481933595,15.340261662769908
A,480,196.76696929931643,15.345973363499361
A,481,235.92486419677732,15.351570481181605
A,482,203.77376251220704,15.35705863784668
A,483,182.34017791748047,15.362428507737974
A,484,252.25804290771484,15.367699031678093
A,485,193.1703674316406,15.372863328605137
A,486,204.3393844604492,15.377933373499577
A,487,231.88512115478514,15.382930372570971
A,488,216.1819305419922,15.387846874871496
A,489,190.0788619995117,15.392670012910044
A,490,252.72941436767576,15.397413010508474
A,491,192.8643310546875,15.402075028237828
A,492,180.9748390197754,15.431217660517563
A,493,128.35017623901368,15.470263258073262
A,494,87.34654083251952,15.578872428652506
A,495,76.10146751403809,15.665913726212858
A,496,125.28020324707032,15.75629430504794
A,497,85.58509216308593,15.815698312171438
A,498,111.974373626709,15.864431178093911
A,499,107.84480361938476,15.898336855278664
A,500,110.0637466430664,15.93304617987663
A,501,110.04068489074709,15.964901976350522
A,502,137.57103500366213,15.995105767950989
A,503,108.07785568237306,16.02067186929014
A,504,141.02584533691407,16.042532211539495
A,505,137.6303611755371,16.062980008998004
A,506,161.98424758911133,16.08331258900372
A,507,124.25677032470705,16.103661118980444
A,508,158.6496063232422,16.123855330624238
A,509,110.27359085083008,16.143188214699883
A,510,183.85129318237304,16.159682291011094
A,511,146.74077758789065,16.176499399941985
A,512,180.0923873901367,16.191220035638146
A,513,132.34567108154297,16.205151401401043
A,514,200.93657379150392,16.218185127685746
A,515,122.38067855834962,16.23038009169705
A,516,155.63823471069338,16.241827859538358
A,517,173.3285934448242,16.252578905691234
A,518,154.98223190307618,16.26272249995737
A,519,133.86653900146484,16.272303385957322
A,520,189.6280746459961,16.281393514977182
A,521,136.5619689941406,16.290021395770996
A,522,160.33033752441406,16.2982474639479
A,523,178.9656188964844,16.306086198624495
A,524,149.66058197021482,16.3135878316996
A,525,154.8428970336914,16.320769187136065
A,526,197.94709701538085,16.327660452600707
A,527,139.1085418701172,16.33427468080452
A,528,164.14691009521485,16.340641551005277
A,529,194.82666091918946,16.34677522295095
A,530,160.97698440551758,16.352700074428064
A,531,148.69376373291016,16.358414874031595
A,532,206.70152740478517,16.363945610997494
A,533,154.12248992919922,16.37003173611392
A,534,173.87591400146485,16.37553179239919
A,535,198.5026725769043,16.380914486633866
A,536,155.60970764160157,16.386195454945472
A,537,167.04368591308594,16.391353564845673
A,538,216.1441909790039,16.396373460886885
A,539,143.9147087097168,16.40126345120316
A,540,171.8277114868164,16.406021325294212
